asset,event_type,tone_change,post_tone,early_bps,net_bps
CRYPTO,NFP,-0.1206,-1.4877,-4.485526095289183,15.2476010404623
CRYPTO,CPI,-0.2059,-0.947,-16.866783382855076,38.85193866184578
CRYPTO,FOMC,-0.2126,-0.7865,0.5653433495633742,-79.58057958264652
CRYPTO,NFP,0.3836,-1.1917,-54.52119017778423,-91.28626467994394
CRYPTO,CPI,0.2009,-0.5981,-24.579396878277038,-44.55322172987497
CRYPTO,NFP,1.3461,-1.0272,-13.834177565098527,-14.389271341892496
CRYPTO,CPI,-0.5911,-1.053,52.86441031248312,78.85293750967692
CRYPTO,NFP,0.4818,-1.1817,-68.84693962407651,21.555199443805684
CRYPTO,FOMC,1.3548,-1.0282,109.6619657237774,101.63405436515393
CRYPTO,CPI,0.1171,-0.6348,175.63060520449315,173.59842059646357
CRYPTO,CPI,0.2765,-0.3784,189.6779885310984,195.45566828407468
CRYPTO,NFP,0.1793,-0.8815,-83.02185163887255,-107.41050891316716
CRYPTO,CPI,-0.338,-0.7584,89.41189454096943,16.628909300915318
CRYPTO,FOMC,-0.6154,-1.7566,-29.68839036679327,-71.19845244878853
CRYPTO,NFP,-0.8374,-2.9378,-29.14522229800931,52.83437713151873
CRYPTO,CPI,-0.0804,-0.7455,-62.89878096226165,-100.79788613668872
CRYPTO,NFP,0.0347,-2.1509,89.63094434959685,174.78687135031868
CRYPTO,CPI,0.5261,-1.3354,-43.173338949950015,-14.275566469714729
CRYPTO,NFP,0.5498,-1.5277,-35.26040293937882,57.465379019694396
CRYPTO,CPI,-0.2049,-0.8502,-46.35069852461204,-48.64473168821104
CRYPTO,FOMC,-1.4748,-2.1993,-51.6408997387996,-43.557771975644144
CRYPTO,CPI,0.0571,-0.5892,33.453747638914066,103.11857680057601
CRYPTO,NFP,-0.2356,-1.7561,45.209880068532996,53.17532838378103
CRYPTO,CPI,0.2467,-0.669,42.13731419627997,37.41421052027016
CRYPTO,FOMC,0.6838,-1.515,-55.308232623938466,-103.53634740684181
CRYPTO,NFP,1.1854,-1.5529,1.3207103121892771,-3.5390892961773
CRYPTO,CPI,0.2473,-0.8463,127.85521049607951,172.1305737757728
CRYPTO,NFP,0.4633,-1.178,-13.58176039596315,116.5083288088109
CRYPTO,CPI,-0.1888,-0.9917,-163.4902993013243,-158.5316140792914
CRYPTO,NFP,-0.416,-1.8633,42.89789576227277,-35.12094692934231
CRYPTO,CPI,-0.5437,-1.3139,66.17119146171913,84.75589019092178
CRYPTO,FOMC,-0.7783,-2.0954,-7.128032233333359,3.8456232528649714
CRYPTO,NFP,-1.2909,-2.7553,47.696397465535334,43.566677616866386
CRYPTO,CPI,-0.3893,-1.4238,1.6486208530541724,-37.46978646213872
CRYPTO,NFP,-0.4811,-2.2305,-11.735658300279228,40.50522324096528
CRYPTO,CPI,0.2723,-0.3928,20.945371111611433,12.304174299480053
CRYPTO,NFP,-0.5594,-2.1464,17.51283973195017,-5.670512487683244
CRYPTO,CPI,0.0409,-0.5705,44.74897335880357,40.13845643495051
CRYPTO,NFP,0.3918,-1.3408,-3.5792059160533185,-10.947445938924716
CRYPTO,CPI,-0.205,-0.9708,40.05145171116054,24.30202065492937
CRYPTO,FOMC,-0.4266,-1.8251,-12.062603298244046,-5.34438689972494
CRYPTO,NFP,-0.4205,-2.0493,13.382597460822598,24.86270061336393
CRYPTO,CPI,-0.1298,-0.9282,36.566508798057114,65.29781939446089
CRYPTO,NFP,-0.5055,-2.343,31.323688235085356,52.72474528746018
CRYPTO,CPI,-0.6562,-1.1394,-51.634625833871794,-36.37574585412806
CRYPTO,FOMC,-0.7109,-1.8295,-24.57824653128049,-40.17607959851954
CRYPTO,CPI,-0.1888,-0.6457,-16.16991998995232,-22.246486798936928
CRYPTO,NFP,0.2016,-1.5439,6.82238124228407,-38.954079186088734
CRYPTO,CPI,-0.1382,-0.9921,-10.181632153198894,-1.4526576904427824
CRYPTO,FOMC,-0.2227,-1.7658,-60.883114883893974,-5.481955922089776
FX,NFP,-0.1206,-1.4877,-19.505226576557178,0.38461010151147335
FX,CPI,-0.2059,-0.947,-18.29259968784358,-44.96703236698152
FX,FOMC,-0.2126,-0.7865,-21.067383357227243,-13.451777819778465
FX,NFP,0.3836,-1.1917,-57.05413251993474,-70.42188820697292
FX,CPI,0.2009,-0.5981,-57.633149253176754,-77.93447240651008
FX,NFP,1.3461,-1.0272,2.3586869051239745,1.5817076893176463
FX,CPI,-0.5911,-1.053,-10.287219158915395,-14.612423303066446
FX,NFP,0.4818,-1.1817,-31.764472659038255,-33.15676159126535
FX,FOMC,1.3548,-1.0282,17.096258963826827,20.243844175797943
FX,CPI,0.1171,-0.6348,23.591220926475476,28.309465111768795
FX,CPI,0.2765,-0.3784,46.43991603663133,55.9136589081044
FX,NFP,0.1793,-0.8815,-0.1847259359843978,2.6785260717554493
FX,CPI,-0.338,-0.7584,34.752148964121155,36.31000391768335
FX,FOMC,-0.6154,-1.7566,-5.824434891137376,-3.1618360837615267
FX,NFP,-0.8374,-2.9378,22.846645927758757,53.53961469939161
FX,CPI,-0.0804,-0.7455,-7.1660853671262625,-6.340624900783576
FX,NFP,0.0347,-2.1509,21.785707855459524,11.820096865380325
FX,CPI,0.5261,-1.3354,-15.167636338938584,-24.40404772145799
FX,NFP,0.5498,-1.5277,-50.084304802654465,-63.926609496528506
FX,CPI,-0.2049,-0.8502,12.303104590110081,10.876127403449676
FX,FOMC,-1.4748,-2.1993,-20.929220340235588,-12.770528694329153
FX,CPI,0.0571,-0.5892,14.444815628631424,9.372662127766773
FX,NFP,-0.2356,-1.7561,27.253361799004505,17.56117836545945
FX,CPI,0.2467,-0.669,-1.093691303253319,9.167986228999503
FX,FOMC,0.6838,-1.515,-52.34878210415239,-68.0915579245478
FX,NFP,1.1854,-1.5529,4.080066446796593,-0.6994399623061476
FX,CPI,0.2473,-0.8463,35.18187817850071,39.82103342521137
FX,NFP,0.4633,-1.178,-6.312735824053339,-11.62314412795351
FX,CPI,-0.1888,-0.9917,-41.810334434448926,-33.12998818508328
FX,NFP,-0.416,-1.8633,22.46994414745629,-12.422932235619522
FX,CPI,-0.5437,-1.3139,11.199184846217847,-14.714994515153679
FX,FOMC,-0.7783,-2.0954,20.192913621246422,16.87189229219621
FX,NFP,-1.2909,-2.7553,-23.37102173775807,-57.0830438274339
FX,CPI,-0.3893,-1.4238,19.816874068268042,-3.855282773281843
FX,NFP,-0.4811,-2.2305,-18.0839802399424,-14.714184897670624
FX,CPI,0.2723,-0.3928,-0.4948935978754676,15.440680253746564
FX,NFP,-0.5594,-2.1464,0.3067592203076508,-10.78916000560759
FX,CPI,0.0409,-0.5705,38.086992264536605,22.99212460699529
FX,NFP,0.3918,-1.3408,-0.679902094099516,0.16997552352515655
FX,CPI,-0.205,-0.9708,20.65814625281881,10.260498367065107
FX,FOMC,-0.4266,-1.8251,6.183726348334417,3.327018964875972
FX,NFP,-0.4205,-2.0493,100.16057279738754,130.41494467696646
FX,CPI,-0.1298,-0.9282,30.16214306335474,33.385183493548354
FX,NFP,-0.5055,-2.343,28.76019213346792,29.025144869319064
FX,CPI,-0.6562,-1.1394,27.430439657312178,26.30069924084877
FX,FOMC,-0.7109,-1.8295,-6.653531308083993,-7.62365909881102
FX,CPI,-0.1888,-0.6457,0.34436595770515055,4.295965322347328
FX,NFP,0.2016,-1.5439,1.5881191518585247,2.403639797408097
FX,CPI,-0.1382,-0.9921,0.9024727754036732,4.701453410915768
FX,FOMC,-0.2227,-1.7658,12.054032953410232,7.292475452238545
FX,NFP,-0.1206,-1.4877,41.61484906004986,23.156872134242334
FX,CPI,-0.2059,-0.947,26.38204782477116,60.984838061692855
FX,FOMC,-0.2126,-0.7865,24.825504364098805,17.408586141425264
FX,NFP,0.3836,-1.1917,65.41874473735332,88.17724082211376
FX,CPI,0.2009,-0.5981,63.21717846463848,74.1797336708494
FX,NFP,1.3461,-1.0272,-3.518940865194775,2.1047250080497015
FX,CPI,-0.5911,-1.053,10.47777287986218,13.224373537690237
FX,NFP,0.4818,-1.1817,20.887659425390392,24.628930069303667
FX,FOMC,1.3548,-1.0282,-14.778684443371715,-19.491372229393235
FX,CPI,0.1171,-0.6348,-23.724716139236214,-26.553679581312608
FX,CPI,0.2765,-0.3784,-42.80135845024735,-69.00367595619295
FX,NFP,0.1793,-0.8815,6.039211291455349,20.047691091227282
FX,CPI,-0.338,-0.7584,-42.614031993019054,-183.08250782185675
FX,FOMC,-0.6154,-1.7566,14.055233088139385,-4.52817179207643
FX,NFP,-0.8374,-2.9378,-123.17213557661022,-102.48458670210847
FX,CPI,-0.0804,-0.7455,31.749272625185565,26.011944260118103
FX,NFP,0.0347,-2.1509,-62.00576067033281,-16.15780745395923
FX,CPI,0.5261,-1.3354,30.048352454477012,37.56749417195948
FX,NFP,0.5498,-1.5277,119.56677517761082,143.86230712009285
FX,CPI,-0.2049,-0.8502,-20.48107011912603,-20.54150606374039
FX,FOMC,-1.4748,-2.1993,21.179862134785843,15.126605240707303
FX,CPI,0.0571,-0.5892,-22.426806325972493,-28.228734063251437
FX,NFP,-0.2356,-1.7561,-22.74772605760478,-60.160263541538804
FX,CPI,0.2467,-0.669,-5.897540070506357,-20.431699933161074
FX,FOMC,0.6838,-1.515,40.679751824246324,36.510971501411134
FX,NFP,1.1854,-1.5529,-3.817303838297148,0.6743903447659072
FX,CPI,0.2473,-0.8463,-40.891198838231006,-38.910332352455335
FX,NFP,0.4633,-1.178,-7.890583903210624,-8.390320883747693
FX,CPI,-0.1888,-0.9917,49.64250232088574,59.34298604211685
FX,NFP,-0.416,-1.8633,-20.695097869860568,-27.164432883189924
FX,CPI,-0.5437,-1.3139,-7.762148939174374,22.856336400107757
FX,FOMC,-0.7783,-2.0954,-18.242393722216477,-42.1009101186931
FX,NFP,-1.2909,-2.7553,28.628814160756022,31.598493800537586
FX,CPI,-0.3893,-1.4238,-15.062571573009054,3.7622039499685123
FX,NFP,-0.4811,-2.2305,18.581186289368112,9.778479041666621
FX,CPI,0.2723,-0.3928,3.814423245700471,-8.803553827251287
FX,NFP,-0.5594,-2.1464,5.199234672654818,25.36533288966636
FX,CPI,0.0409,-0.5705,-55.10125414722289,-37.74143366511162
FX,NFP,0.3918,-1.3408,-1.2808707151401588,-0.5815845409284925
FX,CPI,-0.205,-0.9708,-13.044903531925778,-3.8053267815918446
FX,FOMC,-0.4266,-1.8251,-3.830516447701493,-5.026712812068457
FX,NFP,-0.4205,-2.0493,-87.74347818867211,-126.78633699207964
FX,CPI,-0.1298,-0.9282,-23.709611148906575,-28.57951139341064
FX,NFP,-0.5055,-2.343,-34.7732641247378,-44.4043431097263
FX,CPI,-0.6562,-1.1394,-26.782725142282526,-21.865795551767597
FX,FOMC,-0.7109,-1.8295,6.895419471351083,10.38909867016935
FX,CPI,-0.1888,-0.6457,-1.421969427658487,-4.337006754355777
FX,NFP,0.2016,-1.5439,0.6444773127878278,2.062327400920161
FX,CPI,-0.1382,-0.9921,-3.5428170182860708,-6.17280010213328
FX,FOMC,-0.2227,-1.7658,-10.260639420035522,1.745267639667869
OIL,NFP,-0.1206,-1.4877,-30.29468465987284,30.29468465987284
OIL,CPI,-0.2059,-0.947,-55.294442908488946,-17.97069394525952
OIL,FOMC,-0.2126,-0.7865,4.01983116709026,-2.4118987002530456
OIL,NFP,0.3836,-1.1917,6.901311249136732,1.3802622498260142
OIL,CPI,0.2009,-0.5981,11.814124442108831,-73.51010763980037
OIL,NFP,1.3461,-1.0272,5.22125048949329,2.6106252447455347
OIL,CPI,-0.5911,-1.053,-6.559958016267853,-39.35974809761156
OIL,NFP,0.4818,-1.1817,-9.5124851367423,35.67181926278362
OIL,FOMC,1.3548,-1.0282,-14.113420579933145,-3.3358994098020567
OIL,CPI,0.1171,-0.6348,29.877890361131865,-4.416731618602787
OIL,CPI,0.2765,-0.3784,7.64525993883769,30.58103975535076
OIL,NFP,0.1793,-0.8815,11.92179303767471,13.11397234144085
OIL,CPI,-0.338,-0.7584,38.91050583657574,16.2937743190672
OIL,FOMC,-0.6154,-1.7566,-8.980115458627758,-3.3354714560607235
OIL,NFP,-0.8374,-2.9378,-61.137692716639606,-73.89686337054724
OIL,CPI,-0.0804,-0.7455,5.199532042114985,22.617964383204736
OIL,NFP,0.0347,-2.1509,2.870676044208764,-34.16104492608207
OIL,CPI,0.5261,-1.3354,7.433838834374207,-31.51947665774646
OIL,NFP,0.5498,-1.5277,27.02702702702675,30.270270270271737
OIL,CPI,-0.2049,-0.8502,10.790396547073478,77.15133531157159
OIL,FOMC,-1.4748,-2.1993,4.132231404958553,-30.853994490356307
OIL,CPI,0.0571,-0.5892,13.190678587129412,-64.48776198153317
OIL,NFP,-0.2356,-1.7561,-8.862629246676468,-31.90546528803462
OIL,CPI,0.2467,-0.669,-8.63682164963353,-11.227868144525477
OIL,FOMC,0.6838,-1.515,11.405759908753588,-19.96007984031989
OIL,NFP,1.1854,-1.5529,10.914051841746097,22.37380627558183
OIL,CPI,0.2473,-0.8463,15.612802498048417,37.99115274525144
OIL,NFP,0.4633,-1.178,-5.626670417780977,-9.846673231116432
OIL,CPI,-0.1888,-0.9917,-17.91620727673582,-1.1025358324157075
OIL,NFP,-0.416,-1.8633,16.37392080976463,-10.419767788033552
OIL,CPI,-0.5437,-1.3139,10.430636268814464,2.9801817910879436
OIL,FOMC,-0.7783,-2.0954,-19.411676870240147,-8.660594295953894
OIL,NFP,-1.2909,-2.7553,51.4552178806893,-52.0984081041953
OIL,CPI,-0.3893,-1.4238,-18.08318264014508,-99.29311195133961
OIL,NFP,-0.4811,-2.2305,71.64790174002178,101.33060388945792
OIL,CPI,0.2723,-0.3928,6.424670735625249,28.26855123674976
OIL,NFP,-0.5594,-2.1464,22.123893805310324,59.73451327433654
OIL,CPI,0.0409,-0.5705,1.5126304643775512,38.72333988806709
OIL,NFP,0.3918,-1.3408,0.0,-31.5315315315301
OIL,CPI,-0.205,-0.9708,-10.631834750912672,-12.758201701094096
OIL,FOMC,-0.4266,-1.8251,-14.208581983516932,-50.29838022165389
OIL,NFP,-0.4205,-2.0493,0.0,-2.020202020200923
OIL,CPI,-0.1298,-0.9282,-1.5735641227376806,-17.938630999212446
OIL,NFP,-0.5055,-2.343,1.5933715742511012,-89.22880815806167
OIL,CPI,-0.6562,-1.1394,-17.488076311605873,-19.713831478537223
OIL,FOMC,-0.7109,-1.8295,-16.49076517150405,-28.36411609498768
OIL,CPI,-0.1888,-0.6457,0.0,11.527377521614035
OIL,NFP,0.2016,-1.5439,-11.737089201877549,-2.347417840375954
OIL,CPI,-0.1382,-0.9921,-1.7135023989034437,-7.882111034955841
OIL,FOMC,-0.2227,-1.7658,3.427592116538314,23.65038560411259
