asset,scenario,policy,n,mean_bps,mean_lo,mean_hi,win_rate,win_lo,win_hi
CRYPTO,gross,ALL,63,1.4,-3.8,5.9,74.6,63.5,84.1
CRYPTO,gross,SMALL,40,-0.3,-6.7,5.2,77.5,65.0,90.0
CRYPTO,gross,NONSMALL,23,4.3,-3.9,12.2,69.6,52.2,87.0
CRYPTO,retail_conservative,ALL,63,-29.8,-34.8,-25.4,4.8,0.0,11.1
CRYPTO,retail_conservative,SMALL,40,-32.2,-38.4,-26.6,2.5,0.0,7.5
CRYPTO,retail_conservative,NONSMALL,23,-25.7,-32.7,-18.9,8.7,0.0,21.7
CRYPTO,retail_optimistic,ALL,63,-12.5,-17.4,-8.1,15.9,7.9,25.4
CRYPTO,retail_optimistic,SMALL,40,-15.0,-21.2,-9.5,10.0,2.5,20.0
CRYPTO,retail_optimistic,NONSMALL,23,-8.2,-15.3,-1.6,26.1,8.7,43.5
FX,gross,ALL,124,0.7,-0.7,1.9,86.3,79.8,91.9
FX,gross,SMALL,45,0.7,-0.7,2.0,82.2,71.1,93.3
FX,gross,NONSMALL,79,0.6,-1.4,2.3,88.6,81.0,94.9
FX,retail_conservative,ALL,124,-0.8,-2.0,0.3,51.6,42.7,60.5
FX,retail_conservative,SMALL,45,-0.6,-2.1,0.7,57.8,42.2,71.1
FX,retail_conservative,NONSMALL,79,-0.9,-2.7,0.6,48.1,36.7,59.5
FX,retail_optimistic,ALL,124,-0.3,-1.5,0.8,64.5,55.6,72.6
FX,retail_optimistic,SMALL,45,-0.2,-1.6,1.1,73.3,60.0,86.7
FX,retail_optimistic,NONSMALL,79,-0.3,-2.1,1.2,59.5,48.1,69.6
OIL,gross,ALL,63,-0.8,-6.2,4.0,61.9,49.2,73.0
OIL,gross,SMALL,55,-2.4,-8.1,2.2,61.8,49.1,74.5
OIL,gross,NONSMALL,8,10.3,-1.9,26.6,62.5,25.0,87.5
OIL,retail_conservative,ALL,63,-5.6,-10.8,-1.1,28.6,17.5,39.7
OIL,retail_conservative,SMALL,55,-7.0,-12.4,-2.6,25.5,14.5,38.2
OIL,retail_conservative,NONSMALL,8,3.8,-11.2,21.5,50.0,12.5,87.5
OIL,retail_optimistic,ALL,63,-4.6,-9.8,-0.1,33.3,22.2,44.4
OIL,retail_optimistic,SMALL,55,-6.0,-11.4,-1.6,30.9,20.0,43.6
OIL,retail_optimistic,NONSMALL,8,4.8,-10.2,22.5,50.0,12.5,87.5
