run_type,event_type,asset_class,preset,shots,grid_points,objective,exact_objective,delta_vs_exact,status,transpile_level,mitigation,latency_ms,repeated_run_std,bitstring,generated_at,source_file,problem,recommendation
ibm,opec,oil+index,default,0,0,0.0,2.114,-2.114,partial,1,none,0.0,0.0,,2026-06-27T03:06:26.813481+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T030626Z.json,asset_subset_selection,worse
ibm,opec,oil+index,default,0,0,0.0,2.114,-2.114,partial,1,none,0.0,0.0,,2026-06-27T03:06:54.574936+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T030654Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:19:30.273843+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T031930Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:20:31.035851+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T032031Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:25:28.636963+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T032528Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:33:25.934267+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T033325Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:35:25.639718+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T033525Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:51:01.426816+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T035101Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:55:07.282950+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T035507Z.json,asset_subset_selection,worse
ibm,mixed_uploaded_cases,fx+oil,default,0,0,0.0,1.92834,-1.92834,partial,1,none,0.0,0.0,,2026-06-27T03:55:44.718646+00:00,/Users/tongyin/Desktop/InsightBridge_Financial_Models_Latest/reports/quantum_runs/eventalpha_quantum_run_asset_subset_selection_ibm_20260627T035544Z.json,asset_subset_selection,worse
