lambda_size,lambda_corr,lambda_risk,lambda_marginal,best_subset,best_score,base_score,pair_penalty,risk_used,selected_assets
0.0,0.5,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.849779,3.078779,0.079,3.5,fx|crypto|oil|index
0.0,0.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.712423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.712423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.712423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.699779,3.078779,0.079,3.5,fx|crypto|oil|index
0.0,0.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.562423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.562423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.562423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.549779,3.078779,0.079,3.5,fx|crypto|oil|index
0.0,0.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.412423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.412423,2.895923,0.0335,3.5,fx|oil|index
0.0,0.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.412423,2.895923,0.0335,3.5,fx|oil|index
0.0,1.0,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.770779,3.078779,0.158,3.5,fx|crypto|oil|index
0.0,1.0,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.678923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.678923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.678923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.620779,3.078779,0.158,3.5,fx|crypto|oil|index
0.0,1.0,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.528923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.528923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.528923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.470779,3.078779,0.158,3.5,fx|crypto|oil|index
0.0,1.0,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.378923,2.895923,0.067,3.5,fx|oil|index
0.0,1.0,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.378923,2.895923,0.067,3.5,fx|oil|index
